object,color
ash,grey
banana,yellow
beaver,brown
blood,red
broccoli,green
cardboard,brown
carrot,orange
cauliflower,white
cello,brown
chalk,white
cherry,red
cloud,white
clover,green
coal,black
cockroach,brown
coffee,brown
corn,yellow
cotton,white
crow,black
deer,brown
dolphin,grey
elephant,grey
flour,white
foam,white
fog,grey
forest,green
froth,white
garlic,white
gold,yellow
gorilla,black
grass,green
lettuce,green
mud,brown
mustard,yellow
parsley,green
pig,pink
salad,green
sea,blue
shadow,black
silhouette,black
sky,blue
slate,grey
snow,white
soil,brown
spinach,green
strawberry,red
swan,white
tin,grey
vinyl,black
violin,brown
weed,green
wood,brown
