Index,Descriptor,Item,Color
1,a ,sunflower,yellow
2,the ,ocean,blue
3,,grass,green
4,,butter,yellow
5,,bone,white
6,,ivory,white
7,the ,sky,blue
8,the inside of a,pineapple,yellow
9,a,tomato,red
10,a,strawberry,red
11,a,rose,red
12,,blood,red
13,a,heart,red
14,a,pumpkin,red
15,a,carrot,orange
16,,cheese,yellow
17,the,sun,yellow
18,a,lemon,yellow
19,,corn,yellow
20,a,frog,green
21,a,leaf,green
22,a,blueberry,blue
23,,jeans,blue
24,the animal,bat,black
25,a,crow,black
26,a,raven,black
27,,coal,black
28,,paper,white
29,,sugar,white
30,,milk,white
31,,snow,white
32,,sheep,white
33,a,flamingo,pink
34,,cherry blossoms,pink
35,,soil,brown
36,,stone,grey
37,an,elephant,grey
38,the animal,seal,grey
39,a,plum,purple
40,,lavender,purple
41,a,polar bear,white
42,the inside of a,watermelon,red
43,,honey,yellow
44,a,banana,yellow
45,an,orange,orange
46,a,pear,green
47,the fruit,mandarin,orange
48,a,cherry,red
49,,salt,white
50,a,swan,white
51,a,snow leopard,white
52,an,arctic fox,white
53,,steel,grey
54,,clouds,white
55,,rainclouds,grey
56,,plants,green
57,a,suit,black
58,,cocoa,brown
59,,chocolate,brown
60,,concrete,grey
61,,aluminium foil,grey
62,a,pea,green
63,a,rainforest,green
64,,rice,white
65,,pasta,yellow
66,,spinach,green
67,,broccoli,green
68,a,lime,green
69,,guacamole,green
70,,salmon meat,pink
71,,yoghurt,white
72,,cottage cheese,white
73,,feta cheese,white
74,,matcha,green
75,,seaweed,green
76,,garlic,white
77,an,aubergine,purple
78,,ivy,green
79,a,ruby,red
80,,flour,white
81,,baking soda,white
82,a,snowman,white
83,,gravel,grey
84,an,egg yolk,yellow
85,an,egg,white
86,,moss,green
87,,cinnamon,brown
88,the outside of a,coconut,brown
89,,scrambled eggs,yellow
90,a,cucumber,green
91,a,fire extinguisher,red
92,a,duckling,yellow
93,a,panther,black
94,a,pine tree,green
95,a,tooth,white
96,,feces,brown
97,,urine,yellow
98,an,iceberg,white
99,a,school bus,yellow
100,a,chick,yellow
101,,sails,white
102,,wood,brown
103,a,lady bug,red
104,a,daffodil,yellow
105,a,dandelion,yellow
106,,cardboard,brown
107,a,blackboard,black
108,,basil,green
109,,parsley,green
